,Position,Age,Overall,Preferred Foot,Body Type,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
10852,RM,26.0,65.0,0.0,1.0,73.0,168.0,58.0,59.0,59.0,59.0,50.0,63.0,39.0,47.0,56.0,62.0,90.0,90.0,61.0,60.0,61.0,74.0,74.0,75.0,67.0,66.0,60.0,40.0,58.0,58.0,59.0,57.0,42.0,26.0,19.0
10853,RB,24.0,65.0,0.0,0.0,69.0,159.0,67.0,22.0,54.0,58.0,24.0,59.0,30.0,35.0,63.0,61.0,88.0,84.0,70.0,53.0,75.0,43.0,73.0,79.0,65.0,24.0,58.0,52.0,48.0,55.0,31.0,44.0,55.0,65.0,63.0
10854,CDM,25.0,65.0,0.0,0.0,71.0,174.0,34.0,30.0,58.0,62.0,45.0,49.0,35.0,36.0,59.0,59.0,65.0,61.0,57.0,63.0,72.0,44.0,73.0,78.0,69.0,44.0,65.0,65.0,57.0,53.0,45.0,55.0,65.0,66.0,62.0
10855,GK,20.0,65.0,1.0,0.0,74.0,165.0,9.0,8.0,9.0,27.0,6.0,14.0,14.0,13.0,26.0,20.0,43.0,49.0,68.0,62.0,48.0,20.0,61.0,37.0,59.0,5.0,22.0,14.0,5.0,41.0,14.0,52.0,10.0,11.0,11.0
10856,CAM,17.0,65.0,0.0,1.0,73.0,154.0,67.0,62.0,58.0,63.0,68.0,67.0,72.0,73.0,58.0,70.0,75.0,79.0,74.0,55.0,69.0,72.0,72.0,53.0,59.0,71.0,45.0,25.0,58.0,59.0,64.0,55.0,30.0,28.0,24.0
10857,RB,22.0,65.0,0.0,1.0,71.0,165.0,59.0,57.0,55.0,62.0,40.0,67.0,57.0,45.0,58.0,64.0,79.0,82.0,69.0,59.0,57.0,60.0,72.0,80.0,68.0,59.0,51.0,58.0,62.0,61.0,37.0,60.0,68.0,61.0,58.0
10858,LB,23.0,65.0,1.0,0.0,71.0,154.0,58.0,31.0,53.0,57.0,30.0,53.0,43.0,31.0,49.0,60.0,74.0,77.0,72.0,63.0,77.0,26.0,63.0,69.0,49.0,30.0,59.0,67.0,54.0,45.0,38.0,54.0,63.0,62.0,61.0
10859,ST,19.0,65.0,0.0,0.0,73.0,170.0,35.0,66.0,66.0,55.0,52.0,57.0,38.0,28.0,48.0,64.0,68.0,71.0,65.0,61.0,55.0,64.0,65.0,59.0,64.0,55.0,57.0,21.0,67.0,58.0,62.0,60.0,24.0,15.0,18.0
10860,LM,30.0,65.0,1.0,0.0,69.0,165.0,65.0,54.0,51.0,64.0,56.0,61.0,71.0,38.0,59.0,63.0,71.0,75.0,72.0,56.0,73.0,51.0,83.0,69.0,70.0,52.0,64.0,62.0,54.0,58.0,49.0,55.0,64.0,65.0,62.0
10861,ST,24.0,65.0,0.0,2.0,69.0,181.0,35.0,61.0,51.0,58.0,57.0,65.0,53.0,33.0,48.0,62.0,85.0,88.0,70.0,60.0,71.0,69.0,58.0,67.0,75.0,60.0,65.0,15.0,59.0,55.0,60.0,50.0,14.0,27.0,19.0
10862,LB,27.0,65.0,1.0,0.0,71.0,152.0,63.0,43.0,49.0,60.0,60.0,65.0,69.0,62.0,69.0,63.0,53.0,60.0,64.0,66.0,62.0,76.0,52.0,69.0,63.0,59.0,62.0,66.0,59.0,53.0,38.0,60.0,67.0,67.0,68.0
10863,CDM,23.0,65.0,0.0,1.0,69.0,137.0,56.0,35.0,63.0,65.0,43.0,57.0,59.0,34.0,67.0,63.0,78.0,76.0,76.0,60.0,75.0,58.0,80.0,65.0,59.0,49.0,65.0,65.0,41.0,58.0,46.0,72.0,62.0,65.0,66.0
10864,CB,21.0,65.0,1.0,0.0,71.0,141.0,50.0,32.0,63.0,58.0,34.0,50.0,32.0,29.0,52.0,52.0,65.0,60.0,52.0,51.0,70.0,43.0,73.0,64.0,72.0,34.0,68.0,62.0,31.0,36.0,49.0,62.0,66.0,67.0,64.0
10865,ST,22.0,65.0,0.0,0.0,77.0,207.0,30.0,70.0,70.0,49.0,67.0,57.0,36.0,33.0,34.0,55.0,55.0,66.0,47.0,61.0,35.0,68.0,67.0,59.0,90.0,48.0,63.0,24.0,63.0,45.0,50.0,49.0,23.0,36.0,28.0
10867,ST,22.0,65.0,0.0,1.0,69.0,159.0,55.0,68.0,63.0,58.0,62.0,63.0,59.0,48.0,52.0,63.0,73.0,74.0,75.0,60.0,64.0,62.0,73.0,63.0,60.0,56.0,55.0,25.0,66.0,59.0,58.0,69.0,19.0,25.0,27.0
10868,CB,21.0,65.0,0.0,1.0,74.0,172.0,36.0,39.0,67.0,61.0,28.0,45.0,39.0,35.0,54.0,55.0,52.0,65.0,56.0,55.0,55.0,48.0,70.0,64.0,75.0,35.0,59.0,62.0,28.0,37.0,48.0,49.0,64.0,65.0,65.0
10869,ST,27.0,65.0,0.0,0.0,73.0,176.0,51.0,66.0,68.0,56.0,59.0,61.0,59.0,57.0,44.0,58.0,68.0,79.0,66.0,54.0,60.0,66.0,71.0,48.0,78.0,60.0,55.0,38.0,65.0,51.0,63.0,56.0,19.0,45.0,19.0
10870,GK,22.0,65.0,0.0,0.0,73.0,165.0,18.0,15.0,23.0,41.0,12.0,21.0,16.0,20.0,46.0,29.0,47.0,44.0,39.0,56.0,65.0,19.0,55.0,35.0,40.0,17.0,29.0,23.0,12.0,37.0,26.0,33.0,29.0,22.0,24.0
10871,ST,26.0,65.0,0.0,0.0,73.0,179.0,55.0,61.0,62.0,56.0,55.0,63.0,58.0,49.0,51.0,63.0,76.0,80.0,70.0,64.0,70.0,68.0,90.0,63.0,71.0,58.0,56.0,51.0,63.0,51.0,60.0,67.0,25.0,39.0,41.0
10872,GK,28.0,65.0,0.0,0.0,73.0,174.0,17.0,19.0,12.0,32.0,18.0,14.0,12.0,20.0,24.0,23.0,49.0,47.0,44.0,64.0,56.0,26.0,73.0,30.0,60.0,18.0,19.0,27.0,16.0,42.0,26.0,45.0,15.0,11.0,19.0
10873,RM,19.0,65.0,0.0,0.0,70.0,154.0,53.0,66.0,45.0,66.0,49.0,63.0,58.0,42.0,64.0,66.0,78.0,77.0,79.0,60.0,72.0,61.0,71.0,80.0,61.0,69.0,56.0,61.0,59.0,60.0,49.0,70.0,59.0,55.0,49.0
10874,CB,21.0,65.0,0.0,0.0,72.0,163.0,41.0,25.0,62.0,63.0,32.0,32.0,32.0,29.0,53.0,52.0,53.0,51.0,60.0,64.0,63.0,41.0,66.0,51.0,48.0,28.0,69.0,66.0,30.0,45.0,46.0,49.0,67.0,69.0,66.0
10878,CM,35.0,65.0,0.0,0.0,72.0,174.0,56.0,63.0,61.0,68.0,45.0,61.0,65.0,64.0,65.0,65.0,52.0,62.0,61.0,67.0,69.0,69.0,66.0,61.0,72.0,65.0,67.0,46.0,67.0,65.0,62.0,66.0,55.0,56.0,54.0
10880,CM,25.0,65.0,0.0,0.0,73.0,172.0,46.0,38.0,59.0,73.0,43.0,56.0,48.0,46.0,62.0,62.0,51.0,53.0,63.0,63.0,63.0,60.0,71.0,83.0,67.0,55.0,68.0,65.0,47.0,69.0,38.0,49.0,55.0,59.0,57.0
10881,GK,25.0,65.0,0.0,1.0,75.0,183.0,18.0,20.0,13.0,24.0,14.0,20.0,13.0,18.0,26.0,17.0,48.0,50.0,42.0,62.0,35.0,16.0,57.0,24.0,65.0,14.0,25.0,19.0,20.0,20.0,25.0,47.0,10.0,15.0,14.0
10882,LB,27.0,65.0,0.0,0.0,69.0,154.0,63.0,22.0,45.0,61.0,34.0,64.0,29.0,29.0,56.0,61.0,78.0,75.0,77.0,63.0,80.0,31.0,73.0,65.0,60.0,31.0,63.0,58.0,54.0,47.0,23.0,54.0,63.0,65.0,65.0
10884,CAM,25.0,65.0,1.0,0.0,69.0,157.0,48.0,52.0,43.0,62.0,39.0,67.0,47.0,47.0,59.0,63.0,74.0,68.0,79.0,65.0,77.0,50.0,50.0,58.0,48.0,68.0,39.0,19.0,53.0,67.0,45.0,54.0,60.0,34.0,37.0
10887,CDM,34.0,65.0,0.0,0.0,68.0,141.0,46.0,32.0,67.0,68.0,34.0,54.0,50.0,48.0,65.0,59.0,60.0,64.0,71.0,61.0,69.0,58.0,62.0,91.0,73.0,48.0,66.0,62.0,44.0,48.0,44.0,63.0,58.0,63.0,62.0
10889,ST,27.0,65.0,0.0,0.0,74.0,192.0,49.0,68.0,66.0,54.0,58.0,57.0,47.0,19.0,44.0,62.0,54.0,67.0,56.0,50.0,65.0,71.0,61.0,74.0,85.0,53.0,41.0,33.0,63.0,54.0,66.0,54.0,28.0,13.0,12.0
10891,ST,24.0,65.0,0.0,1.0,71.0,159.0,35.0,71.0,48.0,58.0,69.0,72.0,56.0,42.0,36.0,68.0,76.0,73.0,83.0,57.0,79.0,57.0,65.0,64.0,58.0,50.0,36.0,21.0,70.0,39.0,62.0,59.0,29.0,16.0,19.0
10892,LB,24.0,65.0,1.0,0.0,71.0,174.0,31.0,18.0,55.0,52.0,22.0,50.0,29.0,27.0,42.0,57.0,64.0,64.0,33.0,60.0,38.0,41.0,76.0,78.0,75.0,23.0,66.0,62.0,19.0,40.0,32.0,59.0,67.0,67.0,65.0
10893,LB,29.0,65.0,1.0,1.0,69.0,150.0,66.0,55.0,56.0,62.0,47.0,56.0,73.0,71.0,57.0,62.0,66.0,70.0,67.0,62.0,70.0,67.0,67.0,76.0,64.0,68.0,66.0,63.0,63.0,62.0,66.0,55.0,65.0,63.0,59.0
10894,CDM,22.0,65.0,0.0,0.0,71.0,163.0,57.0,52.0,42.0,67.0,34.0,64.0,48.0,47.0,63.0,65.0,63.0,64.0,64.0,55.0,68.0,49.0,63.0,73.0,69.0,51.0,58.0,66.0,48.0,55.0,58.0,58.0,61.0,68.0,66.0
10895,LM,20.0,65.0,0.0,0.0,68.0,141.0,57.0,54.0,45.0,62.0,48.0,72.0,60.0,48.0,59.0,69.0,76.0,74.0,79.0,58.0,78.0,64.0,66.0,66.0,46.0,50.0,50.0,35.0,57.0,60.0,55.0,68.0,29.0,41.0,40.0
10896,ST,26.0,65.0,0.0,1.0,78.0,203.0,22.0,67.0,71.0,58.0,58.0,50.0,39.0,21.0,34.0,60.0,62.0,65.0,51.0,66.0,61.0,62.0,76.0,61.0,79.0,53.0,62.0,53.0,69.0,55.0,57.0,60.0,55.0,58.0,54.0
10897,GK,36.0,65.0,0.0,2.0,74.0,203.0,17.0,13.0,14.0,38.0,17.0,10.0,11.0,16.0,35.0,18.0,44.0,39.0,37.0,68.0,50.0,21.0,63.0,27.0,65.0,13.0,37.0,18.0,12.0,59.0,21.0,52.0,28.0,13.0,10.0
10898,CDM,25.0,65.0,0.0,0.0,72.0,174.0,43.0,49.0,59.0,63.0,38.0,58.0,44.0,45.0,61.0,63.0,64.0,65.0,64.0,65.0,66.0,62.0,67.0,74.0,75.0,56.0,68.0,64.0,55.0,58.0,48.0,63.0,63.0,65.0,62.0
10899,CM,26.0,65.0,0.0,1.0,71.0,157.0,53.0,48.0,65.0,64.0,57.0,62.0,51.0,45.0,61.0,66.0,64.0,64.0,62.0,65.0,62.0,65.0,74.0,73.0,72.0,62.0,68.0,66.0,56.0,64.0,63.0,68.0,57.0,64.0,64.0
10900,RB,19.0,65.0,0.0,0.0,69.0,168.0,63.0,40.0,55.0,62.0,32.0,60.0,49.0,43.0,55.0,61.0,78.0,74.0,72.0,64.0,66.0,40.0,81.0,68.0,73.0,44.0,65.0,59.0,49.0,53.0,45.0,60.0,61.0,60.0,64.0
10901,LM,19.0,65.0,0.0,0.0,70.0,146.0,67.0,61.0,44.0,64.0,49.0,67.0,50.0,48.0,62.0,64.0,74.0,70.0,68.0,45.0,71.0,63.0,65.0,59.0,48.0,50.0,69.0,45.0,70.0,59.0,55.0,55.0,29.0,32.0,30.0
10902,CB,35.0,65.0,0.0,0.0,76.0,194.0,47.0,58.0,67.0,57.0,33.0,60.0,35.0,39.0,52.0,61.0,33.0,41.0,56.0,58.0,32.0,48.0,33.0,40.0,83.0,49.0,62.0,64.0,63.0,60.0,38.0,50.0,67.0,63.0,61.0
10903,RM,26.0,65.0,0.0,0.0,68.0,152.0,68.0,38.0,55.0,66.0,43.0,68.0,52.0,38.0,57.0,55.0,75.0,74.0,72.0,54.0,78.0,50.0,74.0,82.0,52.0,47.0,53.0,52.0,48.0,65.0,40.0,48.0,64.0,64.0,66.0
10906,RM,31.0,65.0,0.0,1.0,74.0,176.0,60.0,60.0,50.0,61.0,54.0,66.0,57.0,58.0,55.0,65.0,77.0,70.0,81.0,59.0,60.0,61.0,46.0,68.0,64.0,54.0,42.0,32.0,61.0,64.0,50.0,58.0,38.0,19.0,20.0
10907,CM,25.0,65.0,0.0,0.0,71.0,168.0,60.0,51.0,59.0,68.0,47.0,66.0,59.0,48.0,66.0,68.0,65.0,58.0,72.0,64.0,69.0,58.0,75.0,63.0,65.0,49.0,66.0,62.0,57.0,63.0,45.0,60.0,62.0,58.0,59.0
10908,RB,32.0,65.0,0.0,0.0,69.0,159.0,67.0,51.0,61.0,64.0,51.0,65.0,63.0,65.0,54.0,64.0,76.0,73.0,73.0,62.0,66.0,65.0,51.0,73.0,76.0,61.0,56.0,60.0,55.0,55.0,67.0,52.0,59.0,60.0,61.0
10909,CDM,25.0,65.0,1.0,0.0,72.0,187.0,57.0,42.0,64.0,63.0,42.0,58.0,60.0,61.0,61.0,62.0,66.0,58.0,73.0,58.0,77.0,55.0,83.0,82.0,79.0,51.0,74.0,62.0,46.0,55.0,60.0,73.0,64.0,65.0,61.0
10910,LM,30.0,65.0,1.0,0.0,69.0,152.0,69.0,45.0,39.0,63.0,58.0,64.0,67.0,69.0,61.0,63.0,90.0,90.0,78.0,48.0,71.0,70.0,34.0,58.0,54.0,60.0,63.0,58.0,60.0,58.0,47.0,52.0,44.0,62.0,61.0
10911,CAM,30.0,65.0,0.0,0.0,70.0,148.0,57.0,59.0,45.0,66.0,32.0,62.0,57.0,67.0,55.0,67.0,74.0,72.0,70.0,60.0,60.0,63.0,56.0,65.0,55.0,57.0,49.0,46.0,62.0,65.0,55.0,61.0,36.0,47.0,44.0
10912,LB,26.0,65.0,1.0,1.0,68.0,163.0,64.0,51.0,51.0,63.0,27.0,60.0,52.0,29.0,59.0,63.0,77.0,77.0,62.0,62.0,71.0,59.0,62.0,69.0,61.0,57.0,63.0,62.0,51.0,52.0,46.0,60.0,56.0,64.0,63.0
10913,LM,28.0,65.0,1.0,0.0,70.0,168.0,66.0,44.0,55.0,62.0,45.0,66.0,69.0,61.0,59.0,66.0,78.0,77.0,80.0,62.0,82.0,65.0,77.0,71.0,55.0,48.0,71.0,60.0,56.0,51.0,43.0,63.0,59.0,64.0,63.0
10915,GK,28.0,65.0,0.0,0.0,73.0,183.0,15.0,16.0,19.0,31.0,16.0,18.0,17.0,16.0,45.0,22.0,50.0,46.0,48.0,59.0,48.0,45.0,65.0,25.0,67.0,19.0,40.0,24.0,14.0,26.0,23.0,45.0,10.0,12.0,18.0
10916,ST,24.0,65.0,0.0,0.0,72.0,181.0,26.0,62.0,76.0,53.0,51.0,50.0,31.0,25.0,22.0,64.0,60.0,78.0,49.0,61.0,52.0,67.0,67.0,51.0,79.0,54.0,45.0,20.0,65.0,41.0,58.0,61.0,17.0,18.0,22.0
10918,CDM,21.0,65.0,0.0,1.0,72.0,159.0,46.0,49.0,56.0,71.0,42.0,62.0,34.0,32.0,65.0,71.0,66.0,64.0,65.0,59.0,65.0,56.0,71.0,65.0,45.0,54.0,56.0,65.0,47.0,50.0,39.0,63.0,66.0,67.0,63.0
10919,CDM,23.0,65.0,0.0,0.0,70.0,170.0,42.0,35.0,59.0,68.0,45.0,63.0,66.0,64.0,66.0,65.0,78.0,83.0,78.0,55.0,75.0,65.0,76.0,69.0,67.0,55.0,71.0,63.0,39.0,60.0,40.0,64.0,62.0,64.0,60.0
10920,RM,28.0,65.0,0.0,1.0,70.0,154.0,66.0,42.0,44.0,58.0,58.0,68.0,70.0,32.0,62.0,62.0,79.0,79.0,82.0,60.0,76.0,64.0,72.0,75.0,56.0,60.0,66.0,65.0,58.0,57.0,22.0,59.0,32.0,58.0,59.0
10921,LM,27.0,65.0,0.0,1.0,70.0,148.0,55.0,65.0,52.0,59.0,60.0,69.0,54.0,57.0,39.0,66.0,81.0,90.0,92.0,56.0,82.0,60.0,80.0,70.0,53.0,57.0,34.0,32.0,64.0,52.0,58.0,61.0,24.0,21.0,16.0
10922,CDM,20.0,65.0,0.0,0.0,73.0,154.0,46.0,31.0,65.0,63.0,31.0,56.0,47.0,30.0,57.0,61.0,78.0,79.0,66.0,61.0,37.0,46.0,70.0,74.0,78.0,30.0,78.0,66.0,45.0,45.0,29.0,60.0,62.0,66.0,64.0
10925,RB,25.0,65.0,0.0,1.0,73.0,159.0,63.0,39.0,56.0,62.0,35.0,60.0,42.0,34.0,55.0,64.0,74.0,70.0,64.0,62.0,61.0,44.0,62.0,66.0,58.0,38.0,54.0,58.0,51.0,57.0,42.0,63.0,64.0,68.0,65.0
10926,ST,30.0,65.0,0.0,0.0,70.0,165.0,49.0,65.0,69.0,58.0,53.0,57.0,56.0,35.0,42.0,58.0,73.0,72.0,69.0,62.0,67.0,61.0,85.0,83.0,79.0,55.0,69.0,46.0,68.0,53.0,60.0,62.0,26.0,29.0,26.0
10927,CM,29.0,65.0,0.0,0.0,69.0,161.0,57.0,57.0,53.0,72.0,57.0,62.0,67.0,63.0,67.0,63.0,66.0,65.0,66.0,64.0,73.0,59.0,34.0,62.0,53.0,61.0,59.0,62.0,53.0,63.0,57.0,60.0,54.0,66.0,64.0
10928,RM,25.0,65.0,0.0,1.0,72.0,157.0,63.0,40.0,51.0,60.0,37.0,59.0,40.0,39.0,58.0,63.0,80.0,95.0,71.0,64.0,70.0,66.0,77.0,84.0,64.0,46.0,63.0,58.0,60.0,50.0,42.0,60.0,57.0,57.0,60.0
10931,LM,25.0,65.0,1.0,0.0,69.0,170.0,58.0,64.0,54.0,55.0,66.0,69.0,49.0,41.0,48.0,68.0,77.0,80.0,86.0,62.0,78.0,68.0,37.0,78.0,58.0,60.0,29.0,26.0,58.0,57.0,65.0,51.0,16.0,26.0,16.0
10932,LM,21.0,65.0,0.0,1.0,68.0,148.0,59.0,57.0,36.0,61.0,37.0,66.0,48.0,55.0,54.0,68.0,85.0,82.0,71.0,45.0,86.0,56.0,37.0,54.0,42.0,45.0,33.0,30.0,58.0,68.0,53.0,56.0,19.0,38.0,32.0
10933,CDM,35.0,65.0,1.0,0.0,67.0,143.0,63.0,55.0,35.0,70.0,57.0,62.0,57.0,42.0,63.0,65.0,59.0,60.0,74.0,63.0,70.0,55.0,71.0,83.0,59.0,52.0,61.0,61.0,63.0,66.0,60.0,67.0,61.0,60.0,46.0
10934,LB,26.0,65.0,1.0,0.0,74.0,176.0,66.0,51.0,54.0,63.0,36.0,64.0,62.0,45.0,53.0,65.0,73.0,75.0,67.0,60.0,72.0,70.0,65.0,69.0,72.0,61.0,75.0,64.0,59.0,62.0,40.0,67.0,60.0,62.0,62.0
10935,LB,26.0,65.0,1.0,1.0,71.0,176.0,62.0,40.0,54.0,61.0,31.0,65.0,54.0,62.0,49.0,62.0,80.0,84.0,92.0,55.0,82.0,59.0,90.0,82.0,81.0,42.0,65.0,59.0,52.0,58.0,47.0,63.0,62.0,62.0,60.0
10936,CM,23.0,65.0,0.0,1.0,71.0,165.0,59.0,52.0,45.0,68.0,44.0,66.0,58.0,50.0,64.0,67.0,69.0,66.0,69.0,64.0,74.0,71.0,67.0,68.0,65.0,60.0,60.0,50.0,59.0,71.0,45.0,66.0,46.0,50.0,48.0
10937,CB,25.0,65.0,0.0,0.0,74.0,181.0,43.0,36.0,67.0,55.0,45.0,44.0,37.0,40.0,50.0,50.0,62.0,55.0,55.0,53.0,47.0,65.0,80.0,49.0,77.0,47.0,81.0,62.0,32.0,47.0,30.0,56.0,59.0,62.0,61.0
10939,CM,23.0,65.0,1.0,0.0,71.0,159.0,65.0,63.0,57.0,70.0,49.0,64.0,48.0,40.0,63.0,65.0,71.0,70.0,60.0,60.0,69.0,59.0,64.0,76.0,65.0,48.0,64.0,65.0,61.0,58.0,57.0,53.0,64.0,68.0,68.0
10940,CB,24.0,65.0,0.0,0.0,73.0,183.0,37.0,21.0,63.0,63.0,26.0,33.0,41.0,31.0,57.0,49.0,56.0,38.0,59.0,56.0,62.0,45.0,50.0,73.0,82.0,25.0,63.0,63.0,27.0,31.0,49.0,56.0,63.0,67.0,62.0
10941,CB,23.0,65.0,0.0,0.0,76.0,194.0,32.0,24.0,63.0,55.0,23.0,39.0,30.0,29.0,38.0,45.0,55.0,49.0,55.0,55.0,48.0,41.0,73.0,66.0,84.0,21.0,58.0,65.0,30.0,36.0,39.0,52.0,65.0,67.0,62.0
10942,RM,23.0,65.0,0.0,0.0,67.0,150.0,56.0,55.0,42.0,62.0,47.0,70.0,52.0,45.0,58.0,68.0,81.0,79.0,90.0,57.0,90.0,53.0,82.0,58.0,49.0,51.0,40.0,24.0,58.0,61.0,53.0,48.0,35.0,28.0,34.0
10943,CB,23.0,65.0,0.0,1.0,74.0,172.0,43.0,39.0,65.0,60.0,39.0,51.0,41.0,39.0,59.0,52.0,76.0,73.0,74.0,59.0,72.0,64.0,82.0,65.0,69.0,42.0,69.0,66.0,47.0,39.0,47.0,47.0,55.0,68.0,64.0
10944,RM,26.0,65.0,0.0,0.0,73.0,185.0,62.0,58.0,58.0,58.0,59.0,63.0,64.0,58.0,59.0,62.0,77.0,80.0,70.0,58.0,69.0,66.0,57.0,85.0,74.0,60.0,66.0,56.0,58.0,65.0,59.0,66.0,33.0,48.0,46.0
10950,ST,20.0,65.0,0.0,1.0,74.0,165.0,25.0,70.0,72.0,46.0,53.0,67.0,53.0,24.0,33.0,65.0,80.0,89.0,65.0,47.0,54.0,57.0,69.0,55.0,81.0,62.0,77.0,16.0,53.0,51.0,53.0,52.0,24.0,23.0,19.0
10951,ST,23.0,65.0,0.0,1.0,72.0,154.0,53.0,68.0,58.0,51.0,48.0,65.0,56.0,60.0,30.0,63.0,79.0,75.0,68.0,57.0,60.0,62.0,69.0,76.0,68.0,58.0,36.0,18.0,69.0,55.0,58.0,64.0,29.0,15.0,17.0
10952,CAM,22.0,65.0,1.0,1.0,67.0,150.0,57.0,60.0,39.0,64.0,59.0,71.0,58.0,42.0,58.0,65.0,76.0,78.0,77.0,58.0,79.0,60.0,67.0,65.0,42.0,54.0,46.0,25.0,57.0,62.0,40.0,54.0,34.0,35.0,29.0
10953,GK,29.0,65.0,1.0,0.0,73.0,185.0,12.0,9.0,10.0,22.0,9.0,12.0,8.0,8.0,17.0,21.0,25.0,22.0,31.0,45.0,37.0,25.0,64.0,21.0,65.0,8.0,23.0,14.0,8.0,36.0,11.0,30.0,13.0,13.0,14.0
10954,LM,28.0,65.0,0.0,0.0,72.0,165.0,42.0,65.0,57.0,61.0,45.0,64.0,54.0,58.0,50.0,67.0,73.0,69.0,68.0,65.0,61.0,66.0,56.0,74.0,65.0,62.0,50.0,34.0,65.0,63.0,67.0,60.0,32.0,37.0,30.0
10955,CB,25.0,65.0,0.0,0.0,72.0,172.0,61.0,24.0,69.0,58.0,26.0,47.0,29.0,29.0,53.0,50.0,58.0,59.0,65.0,61.0,50.0,47.0,83.0,84.0,70.0,34.0,61.0,58.0,30.0,50.0,31.0,54.0,63.0,64.0,65.0
10957,LB,27.0,65.0,1.0,1.0,73.0,165.0,58.0,41.0,52.0,61.0,40.0,57.0,58.0,55.0,54.0,59.0,76.0,85.0,69.0,57.0,65.0,51.0,82.0,81.0,63.0,40.0,62.0,58.0,53.0,50.0,54.0,55.0,63.0,64.0,64.0
10960,ST,26.0,65.0,0.0,2.0,73.0,183.0,52.0,64.0,65.0,55.0,64.0,57.0,49.0,57.0,47.0,60.0,65.0,71.0,61.0,63.0,57.0,67.0,72.0,72.0,83.0,61.0,51.0,17.0,66.0,41.0,48.0,64.0,23.0,18.0,20.0
10961,CDM,30.0,65.0,0.0,2.0,69.0,187.0,47.0,47.0,53.0,71.0,45.0,56.0,29.0,45.0,67.0,64.0,53.0,66.0,64.0,64.0,70.0,71.0,58.0,74.0,67.0,67.0,60.0,57.0,32.0,62.0,58.0,73.0,65.0,62.0,55.0
10963,CB,25.0,65.0,0.0,1.0,76.0,183.0,41.0,41.0,63.0,56.0,46.0,47.0,46.0,48.0,53.0,53.0,52.0,54.0,45.0,57.0,56.0,55.0,69.0,59.0,74.0,44.0,64.0,61.0,30.0,35.0,40.0,61.0,60.0,70.0,68.0
10965,RM,27.0,65.0,0.0,0.0,69.0,176.0,65.0,49.0,44.0,59.0,50.0,72.0,66.0,49.0,46.0,71.0,80.0,89.0,70.0,51.0,75.0,63.0,66.0,67.0,71.0,64.0,37.0,43.0,53.0,55.0,54.0,50.0,44.0,22.0,23.0
10967,LB,21.0,65.0,1.0,0.0,70.0,152.0,64.0,31.0,54.0,54.0,34.0,65.0,35.0,36.0,52.0,69.0,79.0,75.0,78.0,59.0,71.0,34.0,58.0,81.0,58.0,29.0,59.0,58.0,52.0,41.0,48.0,59.0,64.0,63.0,60.0
10968,CAM,21.0,65.0,0.0,0.0,71.0,159.0,60.0,59.0,52.0,64.0,54.0,68.0,61.0,58.0,53.0,65.0,69.0,66.0,70.0,63.0,66.0,68.0,55.0,72.0,56.0,60.0,42.0,36.0,61.0,63.0,58.0,62.0,50.0,34.0,34.0
10969,CB,24.0,65.0,0.0,1.0,69.0,154.0,50.0,25.0,65.0,62.0,22.0,41.0,38.0,42.0,57.0,49.0,66.0,56.0,52.0,55.0,60.0,49.0,74.0,66.0,75.0,31.0,65.0,70.0,25.0,38.0,36.0,48.0,65.0,60.0,57.0
10970,GK,31.0,65.0,0.0,1.0,74.0,176.0,12.0,8.0,13.0,16.0,8.0,7.0,14.0,13.0,25.0,19.0,31.0,34.0,39.0,68.0,31.0,19.0,42.0,27.0,56.0,6.0,22.0,9.0,7.0,32.0,16.0,40.0,19.0,11.0,12.0
10971,CM,32.0,65.0,0.0,1.0,74.0,161.0,58.0,59.0,62.0,65.0,50.0,63.0,63.0,60.0,62.0,64.0,67.0,69.0,65.0,64.0,66.0,69.0,74.0,75.0,72.0,52.0,66.0,63.0,64.0,66.0,58.0,68.0,62.0,60.0,60.0
10972,CDM,24.0,64.0,0.0,2.0,73.0,176.0,38.0,52.0,68.0,64.0,31.0,53.0,40.0,34.0,62.0,60.0,61.0,69.0,62.0,61.0,55.0,55.0,67.0,70.0,81.0,46.0,62.0,64.0,57.0,55.0,37.0,59.0,59.0,65.0,62.0
10974,GK,29.0,64.0,0.0,0.0,77.0,198.0,20.0,15.0,17.0,30.0,20.0,17.0,19.0,20.0,35.0,13.0,38.0,34.0,53.0,62.0,40.0,21.0,60.0,24.0,61.0,14.0,32.0,18.0,15.0,33.0,17.0,56.0,21.0,19.0,18.0
10975,ST,30.0,64.0,0.0,1.0,72.0,170.0,55.0,62.0,69.0,55.0,57.0,55.0,50.0,21.0,32.0,56.0,87.0,87.0,72.0,55.0,62.0,67.0,88.0,48.0,68.0,58.0,58.0,20.0,60.0,50.0,46.0,60.0,19.0,14.0,12.0
10977,RM,24.0,64.0,0.0,0.0,70.0,165.0,58.0,48.0,54.0,59.0,29.0,61.0,59.0,67.0,56.0,60.0,83.0,85.0,84.0,62.0,76.0,54.0,60.0,79.0,62.0,49.0,51.0,47.0,55.0,57.0,69.0,54.0,38.0,49.0,48.0
